MatchID,TournamentID,MatchName,Stage,MatchDate,MatchTime,StadiumID,HomeTeamID,AwayTeamID,HomeTeamScore,AwayTeamScore,ExtraTime,PenaltyShootout,HomePenalty,AwayPenalty,Result
M-2010-41,WC-2010,Paraguay v New Zealand,group stage,6/24/2010,16:00:00,S-133,T-53,T-47,0,0,0,0,0,0,draw
M-2010-42,WC-2010,Slovakia v Italy,group stage,6/24/2010,16:00:00,S-130,T-66,T-39,3,2,0,0,0,0,home team win
M-2010-43,WC-2010,Cameroon v Netherlands,group stage,6/24/2010,20:30:00,S-128,T-11,T-46,1,2,0,0,0,0,away team win
M-2010-44,WC-2010,Denmark v Japan,group stage,6/24/2010,20:30:00,S-136,T-21,T-42,1,3,0,0,0,0,away team win
M-2010-45,WC-2010,North Korea v Ivory Coast,group stage,6/25/2010,16:00:00,S-132,T-49,T-40,0,3,0,0,0,0,away team win
M-2010-46,WC-2010,Portugal v Brazil,group stage,6/25/2010,16:00:00,S-129,T-56,T-09,0,0,0,0,0,0,draw
M-2010-47,WC-2010,Chile v Spain,group stage,6/25/2010,20:30:00,S-135,T-13,T-71,1,2,0,0,0,0,away team win
M-2010-48,WC-2010,Switzerland v Honduras,group stage,6/25/2010,20:30:00,S-127,T-73,T-33,0,0,0,0,0,0,draw
M-2010-49,WC-2010,Uruguay v South Korea,round of 16,6/26/2010,16:00:00,S-134,T-81,T-69,2,1,0,0,0,0,home team win
M-2010-50,WC-2010,United States v Ghana,round of 16,6/26/2010,20:30:00,S-136,T-80,T-30,1,2,1,0,0,0,away team win
M-2010-51,WC-2010,Germany v England,round of 16,6/27/2010,16:00:00,S-127,T-29,T-27,4,1,0,0,0,?,home team win
M-2010-52,WC-2010,Argentina v Mexico,round of 16,6/27/2010,20:30:00,S-131,T-03,T-44,3,1,0,0,?,0,home team win
M-2010-53,WC-2010,Netherlands v Slovakia,round of 16,6/28/2010,16:00:00,S-129,T-46,T-66,2,1,0,0,0,0,home team win
M-2010-54,WC-2010,Brazil v Chile,round of 16,6/28/2010,20:30:00,S-130,T-09,T-13,3,0,0,0,0,0,home team win
M-2010-55,WC-2010,Paraguay v Japan,round of 16,6/29/2010,16:00:00,S-135,T-53,T-42,0,0,1,1,5,3,home team win
M-2010-56,WC-2010,Spain v Portugal,round of 16,6/29/2010,20:30:00,S-128,T-71,T-56,1,0,0,0,0,0,home team win
M-2010-57,WC-2010,Netherlands v Brazil,quarter-finals,07/02/2010,16:00:00,S-134,T-46,T-09,2,1,0,0,0,0,home team win
M-2010-58,WC-2010,Uruguay v Ghana,quarter-finals,07/02/2010,20:30:00,S-131,T-81,T-30,1,1,1,1,4,2,home team win
M-2010-59,WC-2010,Argentina v Germany,quarter-finals,07/03/2010,16:00:00,S-128,T-03,T-29,0,4,0,0,0,0,away team win
M-2010-60,WC-2010,Paraguay v Spain,quarter-finals,07/03/2010,20:30:00,S-130,T-53,T-71,0,1,0,0,0,0,away team win
M-2010-61,WC-2010,Uruguay v Netherlands,semi-finals,07/06/2010,20:30:00,S-128,T-81,T-46,2,3,0,0,0,0,away team win
M-2010-62,WC-2010,Germany v Spain,semi-finals,07/07/2010,20:30:00,S-129,T-29,T-71,0,1,0,0,0,0,away team win
M-2010-63,WC-2010,Uruguay v Germany,third-place match,07/10/2010,20:30:00,S-134,T-81,T-29,2,3,0,0,0,0,away team win
M-2010-64,WC-2010,Netherlands v Spain,final,07/11/2010,20:30:00,S-131,T-46,T-71,0,1,1,0,0,0,away team win
M-2014-01,WC-2014,Brazil v Croatia,group stage,06/12/2014,17:00:00,S-022,T-09,T-17,3,1,0,0,0,0,home team win
M-2014-02,WC-2014,Mexico v Cameroon,group stage,6/13/2014,13:00:00,S-015,T-44,T-11,1,0,0,0,0,0,home team win
M-2014-03,WC-2014,Spain v Netherlands,group stage,6/13/2014,16:00:00,S-021,T-71,T-46,1,5,0,0,0,0,away team win
M-2014-04,WC-2014,Chile v Australia,group stage,6/13/2014,18:00:00,S-010,T-13,T-04,3,1,0,0,0,0,home team win
M-2014-05,WC-2014,Colombia v Greece,group stage,6/14/2014,13:00:00,S-008,T-15,T-31,3,0,0,0,0,0,home team win
